K1,K2,GROUP,CPUD,INTCD,TIMERD,SERIALD,SUMD
at91,sam9x,4-16,0,0,0,0,0
at91,sam9x,4-17,0,0,0,0,0
at91,sam9x,4-18,0,0,0,0,0
at91,sam9x,4-19,1,0,1,0,2
at91,sam9x,4-20,0,0,0,0,0
at91,sam9x,4-21,0,0,0,0,0
at91,sam9x,4-22,0,0,0,0,0
at91,sam9x,4-23,0,0,0,0,0
at91,sam9x,4-24,0,0,0,0,0
at91,sam9x,4-25,0,0,0,0,0
at91,sam9x,4-26,0,0,0,0,0
at91,sam9x,4-27,0,0,0,0,0
at91,sam9x,4-28,0,0,0,0,0
at91,sam9x,4-29,0,0,0,0,0
at91,sam9x,4-30,0,0,0,0,0
at91,sam9x,4-31,0,0,0,0,0
at91,sam9x,4-32,0,0,0,0,0
at91,sam9x,4-33,0,0,0,0,0
at91,sam9x,4-34,0,0,0,0,0
at91,sam9x,4-35,0,0,0,0,0
at91,sam9x,4-36,1,0,1,0,2
at91,sam9x,4-37,0,0,0,0,0
at91,sam9x,4-38,0,0,0,0,0
at91,sam9x,4-39,0,0,0,0,0
at91,sam9x,4-40,0,0,0,0,0
at91,sam9x,4-41,0,0,0,0,0
at91,sam9x,4-42,0,0,0,0,0
at91,sam9x,4-43,0,0,0,0,0
at91,sam9x,4-44,0,0,0,0,0
at91,sam9x,4-45,0,0,0,0,0
at91,sam9x,4-46,0,0,0,0,0
at91,sam9x,4-47,0,0,0,0,0
at91,sam9x,4-48,0,0,0,0,0
at91,sam9x,4-49,0,0,0,0,0
at91,sam9x,4-50,0,0,0,0,0
at91,sam9x,4-51,0,0,0,0,0
at91,sam9x,4-52,0,0,0,0,0
at91,sam9x,4-53,0,0,0,0,0
at91,sam9x,4-54,0,0,0,0,0
at91,sam9x,4-55,0,0,0,0,0
at91,sam9x,5-0,0,0,0,0,0
at91,sam9x,5-1,0,0,0,0,0
at91,sam9x,5-2,0,0,0,0,0
at91,sam9x,5-3,0,0,0,0,0
