SIZE,COUNT
3492216,1
3493988,1
3179627,1
3387560,1
3492127,1
3218438,1
3670304,2
3492443,1
3492566,1
3491544,1
3493588,1
3475431,1
3213389,2
3530217,2
3205969,1
3530248,1
3354795,1
3475180,1
3218234,2
5668156,1
3475210,2
4327624,2
3212995,1
3093922,1
3154601,1
3530293,3
3214285,1
3297380,1
3175948,1
3530371,1
3491602,1
3493708,1
3094048,1
3276974,4
3472679,1
3524994,1
3475349,1
3198600,1
3475480,1
3093920,1
3093648,1
3200786,1
3093962,1
3206311,1
3213068,1
3240220,2
3093940,2
3313716,2
3492246,1
3475189,1
5629012,1
3530369,1
3213861,1
3472908,1
3240294,1
3492222,1
3192169,1
3179048,1
3093937,2
3214186,2
3588196,5
3615884,1
3093902,1
3213315,1
3214212,1
3177974,1
3475375,1
3176035,1
5678540,1
3200479,1
3178296,1
3670270,2
3206270,1
3175991,1
3492120,1
1369206,1
3473022,1
3192150,1
5683552,1
3475465,1
3240391,1
3179566,1
3198800,1
3213599,1
3492512,3
3175686,1
3213976,1
3492369,1
3492473,1
3175715,1
3200386,1
3214145,2
3492077,1
3492386,1
3213244,1
3094069,1
3218354,1
3493617,1
3200394,2
3491222,1
3191856,1
3472661,1
3179386,2
3493920,1
3472816,1
3178058,1
3473160,1
3525103,1
6409488,1
3492134,1
3218318,1
3472992,1
3475176,1
3214330,1
3179377,2
3198833,1
3525139,1
3200290,2
5427004,1
3198770,1
3213037,1
3205820,1
3198846,1
3213890,2
3493714,1
3218313,1
3240312,1
3218537,1
3199065,1
3475141,1
3206369,1
3214393,1
1382803,1
3530219,1
3192166,1
3492097,1
3491596,1
3491538,1
3240149,1
3200820,1
3475380,1
1158831,1
3492536,2
3475492,1
3178286,1
3154764,1
3192270,1
3240016,1
6404844,1
3493778,1
3218454,1
3175912,2
3493983,1
3493851,1
3178304,1
3175924,1
1273867,1
3093816,1
3192183,1
3094160,1
3645700,2
3200341,1
3198475,2
3530396,1
3198847,1
5615296,1
3198656,1
3213174,1
3530229,1
3492047,1
3206054,2
3524949,1
3198728,1
3472971,1
3192281,1
3218553,1
3213296,1
3493685,1
3530387,1
3266400,1
3240218,1
3524983,1
3472720,1
3670181,7
3472893,1
3154761,1
3240475,1
3192414,1
3491644,1
3616076,3
3191938,1
3093992,1
3200323,2
3493663,2
3178104,1
3213970,1
3472734,1
3492020,1
3240465,1
3525016,1
3217971,1
3213827,1
3200395,1
3492227,1
6404116,1
3240381,2
3588268,5
3175635,1
3200416,1
3200613,1
1049717,1
3175699,1
3179316,1
3491490,1
3492185,1
3192342,1
3492233,1
3492596,1
3491618,1
3178055,1
3200275,1
3472773,1
3213981,1
3154592,1
3492338,2
3214328,1
3213324,2
3670298,2
3175696,2
3200366,1
3524967,1
3200293,1
3093722,1
3491555,1
1370092,1
3493602,1
3154549,1
3200691,2
3492381,1
3493801,1
3298156,1
3493587,1
3524957,1
3206020,1
3218294,1
1165545,1
3525019,1
3218311,1
3615916,1
3492430,2
3491477,1
3525159,1
3198730,1
3280996,1
3179609,1
3492410,1
1345140,1
3492071,2
3276973,5
1168383,1
3240172,1
3492586,2
3493721,1
3200533,1
3492537,2
3245812,1
5767976,1
3206165,1
3206249,1
3493571,1
3192020,1
3276976,1
3154578,1
3200893,1
3094002,1
3154711,1
3178306,1
3192082,1
3206118,1
3493950,1
3530200,1
3493800,1
3379368,3
3213262,1
3493859,1
3525050,1
3670195,1
3175897,1
3472655,1
3276968,3
3218490,1
3670268,6
3492081,1
3525178,1
3280840,1
886894,1
3530151,1
3192323,1
3198794,1
3530345,1
1364178,1
3178023,1
3525080,1
3093860,1
3178403,1
3492123,2
3670299,2
3240243,1
3492236,2
3276966,1
3206307,1
3492806,1
3491426,1
3472931,1
3175882,1
3191950,1
3192198,1
3493981,1
3214088,1
3175903,1
1384289,1
3093980,1
3214256,1
3472879,2
3491359,1
5634664,1
3473017,1
3206174,1
3493744,1
3176162,1
3192259,1
3491561,2
3200384,1
3213229,1
3493791,1
3530132,2
3192454,1
3530125,1
3491659,1
3240072,1
3525044,1
3178249,1
3492406,1
3154506,1
3524962,1
3179198,1
3491564,1
3206247,1
3175854,2
3525071,1
3178317,1
3178324,1
3240223,1
3240107,1
3472677,1
3179343,1
3491436,1
3472891,1
3154648,2
3491481,1
3175896,1
3530295,1
3214349,1
3218521,1
3178212,2
3530174,1
3093885,1
3204360,1
3492432,1
3091188,1
3179167,1
3154459,1
3530262,1
3093889,1
3472780,1
3179246,1
3524968,2
3218386,1
3178470,1
6348516,1
3525183,1
3491467,1
3212696,1
3206373,1
3094110,1
3200254,1
3178325,1
3206008,1
3213280,1
3218405,1
3491493,1
3472974,1
3240553,1
3154753,1
3179414,1
3198772,1
3493862,1
3473054,1
3206137,1
3214226,1
3492529,1
3218096,2
3584174,1
6403580,1
3154900,1
3475253,1
3200608,1
3200537,1
3218532,1
3218159,1
3214379,1
3972952,1
3093994,1
3470838,1
3198840,2
3492137,1
3213039,1
3240331,1
3491952,1
3198774,2
3492153,1
3178223,1
3175909,1
3493760,1
3191991,1
3494025,1
1159197,1
3473069,1
3200415,1
3493845,1
3670182,2
3200609,1
3475389,2
3493781,2
3475123,1
3213171,1
3218266,1
3192084,1
3154477,1
3176001,1
3472779,1
3198654,1
3492475,1
3492431,1
3175836,1
3198578,1
3200222,1
3175931,1
3491635,1
3475400,1
3213975,1
3491452,1
3493970,1
3200434,1
3198942,2
3218307,1
